legacy_user_id,user_id,legacy_photo_path,file_present_in_export,file_bytes
80,f3a4e1d7-eaaf-4ecc-9177-9315d4e56aca,profiles/f96a921f-5591-4c12-addf-bcf7e3360cce/1770330978851-6ecbe28ba7974390.webp,yes,11030
81,ca395fbd-1df6-4c45-bcbd-f9dd15aafcdd,profiles/1dcd16fe-f45e-43aa-930a-23908bcd9f74/1770331073821-71bd2f90475bbcd7.webp,yes,109228
82,8947cc7d-38bb-4fde-b823-1767a563ea0c,profiles/3a9833ba-2627-49c0-9cff-2cdb5ed4f04d/1770332147407-05b768801fd7bb92.webp,yes,36552
83,c010617c-b2b9-4af3-b2b8-ee1d59cfc72d,profiles/9db6c09d-da6b-4d6d-9602-db76b45057a6/1770352998548-c518e9b4be57122d.webp,yes,37956
84,3159038c-5c25-4da6-9b54-8ed23c8be732,profiles/2bb149c8-4f03-4c8a-b8a4-6a788c20cc2f/1770381849613-397fa7a2e7e64951.webp,yes,11540
87,d1d32a96-cc54-4706-9d94-134b5dd6f156,profiles/cc924b90-f757-47ac-b06d-feffd155be58/1770436018496-eeec8f2c9c74a561.webp,yes,49920
88,bb330f8c-a64a-4ae4-962d-0734bb0e6f6d,profiles/44e05f18-7ae0-4c7c-8d37-61e068abfaf0/1770439557389-ade9061f4b7d131a.webp,yes,47160
94,7f99e4da-d50e-4acf-8d36-d6a410639ab4,profiles/94/1777663217050-6bf5108bf7ab1aa0.webp,yes,23570
95,c4c9e0e3-a7e2-4f91-a163-e8e0722fda01,profiles/15b36d13-d9bd-453f-8f19-073e60b68d92/1770694331170-af6a810a1715a724.webp,yes,6552
96,4dbbb3bb-fe3e-4efb-9da3-fac74e05f425,profiles/9f268df9-b925-4b44-a8e7-301879e7bccd/1770739842650-b725d365b79652bb.webp,yes,30444
100,8db41eeb-58f5-427b-ae28-c0d4e4533719,profiles/0180bf9e-1fef-434e-ad30-7951bb467491/1770802773603-e564a0e3bd8958dd.webp,yes,48862
101,4ac8643b-8aef-4311-9ab0-5d3a79045173,profiles/4819fd28-8dd3-4bbd-ab71-c7a463d06133/1770903936893-f5308fa799e22c34.webp,yes,33668
102,44bc8bc0-3af7-4824-8050-49b8d54d267b,profiles/32c1724b-9abb-4613-b91a-e590c7ef7cfa/1770879626982-4bf0b6ce0fe4c7ba.webp,yes,105328
103,9649340d-59da-4f80-af27-ccc2fdc151bc,profiles/06b4ff31-f3f9-4fb5-a9da-8eed992c7b25/1770914224414-75120cc40a2a3d52.webp,yes,14820
107,7885604f-58b6-4d1e-b54f-b700822ddb6e,profiles/6903c327-086d-4b6c-96bb-b42cc3c42628/1771295216547-d201d5ef387e2e53.webp,yes,628
108,9c395a41-1931-4ab0-83fb-9b069bb55cad,profiles/22d0a891-7e82-4798-bd0d-d3cf0c0e967a/1771288111300-506c054f1f1fa195.webp,yes,22898
112,2daa5334-497f-4af4-9414-c7154ff10aef,profiles/112/1771742933821-03deaf0f1cbf7c96.webp,yes,43106
114,df9be7f4-8131-4bf9-933e-e64532beb1df,profiles/114/1777663088181-09ea72effe5f3ed9.webp,yes,23570
115,887d4375-bd64-4534-9fce-1749862f0a2c,profiles/115/1772236913676-894dd795e870cb15.webp,yes,34928
117,f9e9d3d9-5e35-4449-9405-4eb0810c7136,profiles/117/1772302691525-f2a0c4bc9257bde0.webp,yes,28336
